Аnthroponym in English,Original + transcription,Source ,Century,Historical source,Hagiographical source,Literature,Commentaries
Basos,Բասոս [Basos],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Basos — one of the students of Gregory the Illuminator from the children of pagan priests, ordained in bishops in one of the edges of Armenia."
Gayane,Գայիանէ [Gayianē],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 60, 62, 66, 68, 70-72, 75-77, 219, 224, 226.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 84-87, 90, 91, 98, 99, 102, 103, 106-111, 116-121, 416, 417, 426, 427, 430-433. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","St. Gayane — the abbess of the Convent of St. Paul in Rome, the early Christian Armenian saint and the martyr, who fled along with the 37 virgins from Diocletian due to the unwillingness of St. Hripsime to marry the emperor and executed by order of Tiridates III due to a similar refusal of St. Hripsime to the King of Greater Armenia."
Gregory the Illuminator,"Գրիգոր [Grigor] 
Գրիգորիոս [Grigorios]",Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 27-29, 34, 36, 37, 39, 41, 51-59, 78-80, 83, 84, 88, 213, 215-218, 224-244, 247-250, 252, 254, 256.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 19, 21, 24, 25, 34, 35, 38-41, 44, 45, 48, 49, 70-79, 82-85, 122-127, 134, 135, 144, 145, 404, 405, 408-415, 430-439, 442-457, 460, 461, 464-469, 476-491. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","St. Gregory the Illuminator — Enlightener of Armenia from the Parthian family, baptized Armenia at the beginning of the 4th century AD, and the first Catholicos of all Armenians."
Dat,Դատ [Dat],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 248.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 478, 479. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Dat — a noble man and messenger of the of Greater Armenia Tiridates III. He was sent together with sparapet Artawazd and ishkhan of Ashotsk Tachat for two sons of Gregory the Illuminator, who were supposed to lead to the Armenian king.
In the Arab version of the ""History of Armenia"" Agatangelos Dat is mentioned as the ""vizier of the king"" of Tiridates."
Diocletian,"Դիոկղետիանոս
[Diokłetianos]",Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 59, 63, 250.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 84, 85, 92, 93, 482, 483. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)",Diocletian — the Roman emperor (284-305).
Eusebius (the archbishop),"Եւսեբիոս (արքեպիսկոպոս)
[Ewsebios (arkʿepiskopos)]",Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Eusebius (Eusebios) — Patriarch and Archbishop of the Roman Empire. Probably, in the ""History of Armenia"" by Agatangelos Eusebius of Nicomedia (d. 341 AD) is meant."
Eusebius (the bishop),"Եւսեբիոս (եպիսկոպոս)
[Ewsebios (episkopos)]",Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Eusebius (Eusebios) — one of the students of Gregory the Illuminator from the children of pagan priests, ordained in bishops in one of the edges of Armenia."
Eutalius,Եւտաղիոս [Ewtałios],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Eulalios (Eulalios) — one of the students of Gregory the Illuminator from the children of pagan priests, ordained in bishops in Basen in Armenia."
Licinius,"Լիկիանէս [Likianēs],
Լիկիանոս [Likianos]",Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 33-35, 250.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 32-37, 482, 483. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Licinius — the originally known military leader who raised and trained Tiridates III, the king of Greater Armenia. He was the Roman emperor from 308 to 324 AD. After the death of Emperor Galerius (311), in an alliance with Constantine, Licinius defeated all enemies, both were proclaimed by the emperors. However, in 324, in the war with Licinius Constantine defeated him and put him to death."
Khosrov II of Armenia,Խոսրով  [Xosrov],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 26, 29, 30, 32, 33, 56.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 16, 17, 24-27, 30-33, 76, 77. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Khosrov II (III century AD) — the king of Greater Armenia from the Arsacid dynasty, the son of Trdat II and the father of Tiridates III (under whose reign Christianity became the official religion of Greater Armenia). Khosrov II is known for its raids on the possessions of the Sassanids, who overthrew the Arsacids from the throne in the Parthian Empire and seized power in Persia. Khosrov II was killed by Anak (the father of Gregory the Illuminator), sent by the Sasanid ruler Artashir Papakan for the purpose of murder.

A number of researchers (N. Garsoyan, R. Hovannisian) note that Armenian sources often confuse the story of Khosrov II and his grandfather Khosrov I."
Khosrovidukht,Խոսրովիդուխտ [Xosroviduxt],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 77, 78, 225, 226, 232, 234, 238, 239, 242.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 122, 123, 430, 431, 444, 445, 448, 449, 456-459, 464, 465. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Khosrovidukht —  the Armenian princess, the daughter of Khosrov II and the sister of Tiridates III. Hosrovidukht is connected with the tradition according to which she had a vision that it it is necessary to release Gregory the Illuminator, imprisoned in a deep dungeon, and only Gregory will be able to cure the disease and rid the demons of Trdat III, his relatives and subjects."
Kirakos,Կիւրակոս [Kiwrakos],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Kirakos (Kiwrakos) — one of the students of Gregory the Illuminator from the children of pagan priests, ordained in bishops in one of the edges of Armenia."
Constantine the Great,"Կսստանդին [Kostandin] (1),
Կոստանդիանոս [Kostandianos]",Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 27, 250-254.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 18, 19, 482-491. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Constantine the Great — the Roman emperor (306-337). In 313 he published The Edict of Milan on religious tolerance, and in 330 the Christianity in the Roman Empire was proclaimed as the state religion."
Constantius Chlorus,Կսստանդին [Kostandin] (2),Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 250.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 482, 483. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Constantius Chlorus — the Roman emperor as Caesar in 293–305, as August in 305–306. He was the father of Constantine the Great and the founder of the Constantinian dynasty."
Hovhannes,Յովհաննէս (եպիսկոպոս) [Yovhannēs (episkopos)] ,Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Hovhannes — one of the students of Gregory the Illuminator from the children of pagan priests, ordained in bishops in one of the edges of Armenia."
"Hripsime, Rhipsime",Հռիփսիմէ [Hṙipʿsimē] ,Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 60, 62, 65, 66, 68-72, 74-77, 81, 219, 224, 226.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 84-87, 90, 91, 96-99, 102-111, 114-121, 128-131, 416, 417, 426, 427, 430-433. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","St. Hripsime — a pupil of St. Gayane of royal lineage in the Convent of St. Paul in Rome, the early Christian Armenian saint and martyr, who fled along with the 37 virgin from Diocletian due to the reluctance of St. Hripsime to marry the emperor and executed by order of Tiridates III because of a similar refusal to the king of Greater Armenia."
Leontius of Caesarea,"Ղևոնդիոս [Łewondios],
Ղևոնդէս [Łewondēs]",Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 234, 235, 239.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 448-451, 458, 459. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Leontius of Caesarea — the Metropolitan and Archbishop of Caesarea in Cappadocia, who ordered Gregory the Illuminator in bishops in Caesarea (Mazaca)."
Marcianus,Մարկիանոս [Markianos],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 250.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 482, 483. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Marcianus — a certain Roman ruler mentioned in the ""History of Armenia"" by Agatangelos along with Diocletian, Maximian, Licinius and Maxentius, who were defeated by Constantine the Great.

A. Gutschmid believes that an error crept here and Martirianus is meant, the co-rule of the Emperor of Licinius. The name Martirianus is found in the Tiflis edition of Agatangelos from 1883 (Gutschmied. s. 41-42)"
Maxentius,Մաքսենտիոս [Makʿsentios],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 250.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 482, 483. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Maxentius — the Roman emperor (306-312), son of Maximian. Taking advantage of the discontent caused in Rome by the fiscal measures of the Emperor Galerius, he seized power with the help of the Praetorians and convinced his father, who renounced the throne, again sit on the throne. The Emperor Severus, who opposed Maxentius, was defeated by him and killed. Galerius’ campaign also ended in failure. Having strengthened in Rome, Maxentius forced his father to leave Gaul and indulged in cruelty and debauchery. In the war with Constantine, he was defeated and drowned in the Tiber during the escape. His two sons were executed by Constantine."
Maximian,Մաքսիմիանոս [Makʿsimianos],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 250.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 482, 483. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Maximian (nicknamed Herculius) — the Roman emperor (285-310). Diocletian, upon joining the throne, made Maximian Caesar (co-ruler), and after his victory over the rebellious peasants in Gaul gave him the title of Augustus (286). In the division of the empire Maximian received Africa, Spain and made Mediolanum (Milan) with his residence. Successfully fought with the Germans. He diligently supported the persecution begun by Diocletian on Christians. Together with Diocletian in 305 he renounced the throne, but in 307 he again sat on the throne, later retired to Gaul. He gave his daughter for Constantine, but then he proclaimed himself an emperor and rebelled against his father-in-law, was captured (308) and spared. Then he organized a conspiracy against Constantine, who was discovered by his daughter Fausta.

In 310 he was executed. Not to be confused with another emperor Maximinus Daza (305-312), who in 311 waged a war against Christian Armenia and was defeated by the Armenians (see: Eusebius Caesarea, pp. 49-53)."
Movses,"Մովսէս (եպիսկոպոս) 
[Movsēs (episkopos)] ",Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Movses — one of the students of Gregory the Illuminator from the children of pagan priests, ordained in bishops in one of the edges of Armenia."
Sasan,Սասան [Sasan],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 29.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 24, 25. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Sasan — the Supreme Priest of the Anahita Temple in the city of Istakhr, the grandfather of Artashir I, the eponym of the Sasanian dynasty."
Vologases V,Վաղարշ [Vałarš],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 29.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 24, 25. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Vologases V (Vagharsh) — the King of Armenia, and then Parthia (207-8 — 222-23) from the Arsacid dynasty."
St. Vrtanes I,Վրթանէս [Vrtʿanēs],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 248, 249.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 478, 479. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Vrtanes I — the eldest son of Gregory the Illuminator, the Armenian Catholicos (333-341)."
Tatchat,Տաճատ [Tačat],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 56, 248.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 76, 77, 478, 479. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Tachat — Armenian nakharar from the descendants of Gushar Haykazuni, was appointed by Tiridates III as the ishkhan in the Ashotsk region. According to the ""History of Armenia"" by Agatangelos, Tachat was the son-in-law of sparapet Artawan; Movses Khorenatsi reports that Tachat is the son-in-law of sparapet Artawazd Mandakuni (probably Aratawazd Mandakuni and Artawan are the same person)."
Tirikes,Տիրիկէս [Tirikēs],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 245.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 470, 471. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Tirikes — one of the students of Gregory the Illuminator from the children of pagan priests, ordained in bishops in one of the edges of Armenia."
Tiridates III the Great,"Տրդատ [Trdat], 
Տրդատիոս [Trdatios], 
Տրդատէս [Trdatēs]
",Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 25-28, 33-36, 51, 55-59, 63, 65, 68, 70, 75, 225, 226, 230, 232-234, 238-239, 241, 243, 248-255.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 16-19, 22, 23, 32-39, 68, 69, 76-79, 82, 83, 92, 93, 96, 97, 102, 103, 106, 107, 116, 117, 428-431, 440, 441, 444-449, 456-459, 462, 463, 466, 467, 476-481, 484-493. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Tiridates III the Great — the King of Greater Armenia from the Arsacid dynasty (298-330), in which Christianity was adopted as an official religion in Armenia in 301."
Ota,Օտայ [Otay],Agathang. Hist.Arm.,4th,V,,"Агатангелос. История Армении. Пер. с древнеарм., вступ. статья и комментарий К.С. Тер-Давтян и С.С. Аревшатяна. Ер., Наири, 2004. - с. 78, 79.
Ագաթանգեղոս. Հայոց պատմություն / Քննական բնագիրը Գ. Տեր-Մկըրտչյանի և Ս. Կանայանցի; Աշխարհաբար թարգմ. և ծանոթագր. Ա. Ն. Տեր-Ղևոնդյանի. — Եր,։ Երևանի Համալս. Հրատ., 1983. — էջ. 122-125. — (Ուսանողի գ-րան/Երևանի պետ. համալս.)","Ota — the Armenian nakharar, who was instructed to rescue Gregory the Illuminator from the deep dungeon. Movses Khorenatsi reports that he was from the Amatuni family and the teacher of Khosrovidukht, the daughter of King Khosrov and the sister Tiridates III."
Aba Gnuni,Աբա [aba],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 344.",Armenian naχarar (prince of Gnuni) that was sent with other princes to Caesaria to consecrate Yusik (I) as a patriarch
Adē,Ադէ [adē],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 344.","Roman count sent together with Valens ca. 369 to reestablish Aršak II's son Pap on the Armenian throne after the Persian occupation of Armenia, also responsible (together with Terentius) for the young king's murder"
Aharon,Ահարոն [aharon],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 344.",Bishop during the reign of Xosrov III/IV
Ałanayozan,Աղանայոզան [ałanayozan],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 344 – 345.",Persian general related to the Amenian Aršakuni dynasty
Ałbianos,Աղբիանոս [ałbianos],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 345 – 346.","Bishop of Manazkert. He got Manazkert with lands around it and around Euphrates as a reward for his mission to the Ordnuni and the Manawazean, fighting with each other and afflicting the whole country. In the 3rd (ch. 17), 5th and the 6th book his descendants (whom Nina G. Garsoїan calls Ałbianids) are described"
Amatuni (house),Ամատունի [amatuni],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 346 – 347.","Senior naχarar (noble) family of presumed Iranian, Caspio-Median descent, with the domain in Artaz in Vaspurakan"
Anak,Անակ [anak],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 347 – 348.",Father of Gregory the Illuminator
Andikan/Andkan,Անդիկան [andikan] ,P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 348.","Persian general sent by Šāhpuhr II against Aršak II. Despite the fact that he is said to have been killed in the first campaign (4th book, ch. 22), he should be identified with the homonymous Persian defeated and killed in ch. 27 of the 4th book"
